mmsi,imo,vessel_name,owner_name,manager_name,parent_owner_name
314189000,9308998,Bangus,Costin Shipping Limited,,
352179000,9413004,Horae,,Fleet Tanqo Private Limited,
352001906,9326885,Anaya,,Fleet Tanqo Private Limited,
352002243,9417464,Anika,,Anika Lines Inc.,
352001849,9332614,Bellaris,,Nardie International S.A.,
352001907,9379301,Versa,,Fleet Tanqo Private Limited,
312171000,9354521,ANHONA,,Harry Victor Ship Management,
457133000,9340934,PIONEER 92,,Logos Marine Pte. Ltd.,
273449240,,DOBRYNYA,,Rosnefteflot,
273312060,,SCF ENTERPRISE,,Sovcomflot,
